job_id,job_title, salary_usd ,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00006,AI Architect,"1,38,403",Senior level,CT,Germany,Mid Cap Companies,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,31-08-2024,04-10-2024,819,6,Neural Networks Co
AI00012,AI Architect,"1,15,047",Executive,CT,South Korea,Small Cap Companies,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,16-07-2024,19-08-2024,513,7,TechCorp Inc
AI00037,AI Architect,"53,752",Mid level,PT,Japan,Mid Cap Companies,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,17-10-2024,12-11-2024,998,6,TechCorp Inc
AI00042,AI Architect,"1,96,954",Senior level,FL,United States,large Cap Companies,United States,50,"Java, Mathematics, SQL",Bachelor,8,Finance,17-03-2025,16-04-2025,2290,8,DataVision Ltd
AI00051,AI Architect,"78,838",Mid level,FT,Germany,Small Cap Companies,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,Government,16-08-2024,19-10-2024,1974,9,TechCorp Inc
AI00056,AI Architect,"88,470",Mid level,PT,Canada,large Cap Companies,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,29-07-2024,27-09-2024,1528,9,Autonomous Tech
AI00112,AI Architect,"1,85,557",Executive,CT,France,Small Cap Companies,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,13-05-2024,25-06-2024,926,8,Neural Networks Co
AI00164,AI Architect,"1,29,014",Senior level,FL,Germany,Small Cap Companies,Netherlands,0,"R, AWS, Git, Tableau",Associate,7,Education,10-07-2024,04-09-2024,2362,6,Advanced Robotics
AI00195,AI Architect,"2,26,208",Executive,FT,Netherlands,Mid Cap Companies,Australia,0,"Java, Scala, Tableau",PhD,13,Technology,17-07-2024,11-09-2024,991,7,Future Systems
AI00223,AI Architect,"1,49,842",Mid level,FL,United Kingdom,large Cap Companies,United Kingdom,50,"Mathematics, Hadoop, Scala, NLP, Kubernetes",Bachelor,3,Finance,25-01-2025,22-02-2025,1423,7,Machine Intelligence Group
AI00307,AI Architect,"2,23,296",Senior level,FL,Denmark,large Cap Companies,Australia,0,"Git, Python, Scala, AWS",Master,5,Healthcare,30-04-2025,26-05-2025,2342,9,Neural Networks Co
AI00327,AI Architect,"2,38,449",Executive,PT,United States,Mid Cap Companies,United States,50,"Scala, Linux, Docker, Git",Associate,15,Gaming,15-01-2025,21-02-2025,1595,5,Cloud AI Solutions
AI00356,AI Architect,"93,369",Executive,CT,Ireland,Small Cap Companies,Ireland,0,"Azure, NLP, Scala",Bachelor,13,Manufacturing,22-06-2024,15-08-2024,658,9,Digital Transformation LLC
AI00368,AI Architect,"61,374",Entry level,CT,Norway,Small Cap Companies,Denmark,50,"MLOps, Java, Linux",Associate,1,Consulting,18-03-2024,15-05-2024,509,7,DeepTech Ventures
AI00376,AI Architect,"90,174",Entry level,FL,Denmark,Small Cap Companies,Denmark,50,"PyTorch, Mathematics, Tableau",Bachelor,1,Technology,06-01-2025,30-01-2025,662,8,Machine Intelligence Group
AI00389,AI Architect,"1,35,102",Executive,PT,China,Small Cap Companies,China,100,"AWS, Kubernetes, Tableau, Computer Vision, Statistics",Master,17,Finance,14-08-2024,05-09-2024,2160,9,Smart Analytics
AI00428,AI Architect,"95,186",Executive,FT,Austria,Small Cap Companies,Germany,100,"PyTorch, Kubernetes, Linux, Computer Vision",Master,18,Retail,02-11-2024,09-12-2024,1301,7,Future Systems
AI00444,AI Architect,"64,832",Mid level,PT,Austria,Small Cap Companies,Germany,50,"Java, Python, Data Visualization, Kubernetes",Associate,2,Consulting,10-12-2024,11-02-2025,2357,6,Autonomous Tech
AI00449,AI Architect,"1,53,304",Senior level,FL,Singapore,large Cap Companies,Canada,0,"Linux, AWS, Git, Python",PhD,7,Real Estate,08-04-2024,31-05-2024,891,8,Digital Transformation LLC
AI00479,AI Architect,"98,984",Mid level,FT,Denmark,Mid Cap Companies,United Kingdom,100,"Git, Python, PyTorch",Bachelor,2,Gaming,12-09-2024,22-11-2024,1443,9,Digital Transformation LLC
